epoch,epoch duration,loss,val_loss,accuracy,val_accuracy
0,0.0,0.01,0.01,0.0,0.0
1,5.541613817214966,0.0008899028457346416,0.001716992982170161,89.58,83.09
2,5.5407562255859375,0.0009196959435939789,0.0014117127832244424,88.69,84.56
3,5.641074180603027,0.0008099545680341267,0.0009920121554066153,89.88,88.97
4,5.5725579261779785,0.0008551350661686488,0.0010433832512182347,89.58,88.6
5,5.2937986850738525,0.0006889464954535166,0.0010263170389568105,89.58,91.54
6,5.5603132247924805,0.0006669155721153532,0.0009479057043790817,91.07,89.71
7,5.4696455001831055,0.0006544509725201698,0.0011719695347196916,91.67,88.24
8,5.505975961685181,0.0005360204016878491,0.0008734351243166363,93.75,90.81
9,5.565526008605957,0.0003946740623740923,0.0008851802524398355,95.83,90.07
10,5.596757888793945,0.000368367171003705,0.0010812273796866922,94.05,87.5
11,5.57538104057312,0.0005176690451446033,0.0009495074696400587,94.05,89.71
12,5.3782875537872314,0.00041907160942043575,0.0010872312328394722,94.94,89.71
13,5.459558963775635,0.00040578647028832206,0.0009992946596706614,95.83,90.07
14,5.380993366241455,0.0004004411221969695,0.0012083057971561655,95.24,88.24
15,5.395710468292236,0.00033625920436211994,0.001050103346214575,95.24,90.81
16,5.430676698684692,0.00035155704244971275,0.0012774070834412293,94.05,91.91
17,5.6165690422058105,0.00011987389907950447,0.0012153975446434582,99.11,88.97
18,5.567147254943848,0.0003632045617061002,0.0010839088217300527,94.94,91.18
19,5.563649892807007,0.0001895874516949767,0.001505280680516187,97.62,88.97
20,5.51002049446106,0.00038326473995333626,0.0014099611298126332,95.24,90.44
21,5.488257646560669,0.00015330929974360124,0.0016886763932073817,97.62,90.44
22,5.533358335494995,0.00030030137194054466,0.0013319646172663745,96.43,88.6
23,5.480976104736328,0.00013969243238014833,0.0011787034352036083,98.81,90.44
24,5.60921311378479,8.410799671851454e-05,0.0015831621473326402,99.11,91.18
25,5.516921043395996,5.5450352928822946e-05,0.0015721702400375815,99.4,90.07
26,5.357613801956177,6.92038419878199e-05,0.0015108668628860923,98.81,91.54
27,5.549114942550659,6.558517703697795e-05,0.0014609492876950432,99.11,92.28
28,5.540296792984009,1.856795833667829e-05,0.0016346435774775112,100.0,90.07
29,5.5771803855896,3.033080914368232e-05,0.0017566531896591187,99.7,90.07
30,5.572619915008545,2.2652204192820048e-05,0.0014952764134196675,100.0,91.18
31,5.485283136367798,0.00013421037943945046,0.002036187578650082,98.51,89.71
32,5.3375563621521,0.00011880689167550631,0.0016541841494686464,97.62,91.18
33,5.468024730682373,0.00011335513998000395,0.001845511662609437,98.51,89.71
34,5.550770282745361,5.067757419532254e-05,0.0014718866304439656,99.4,91.54
35,5.507160186767578,1.348249775002755e-05,0.0017623309703434214,100.0,91.91
36,5.417571783065796,1.1090045778213867e-05,0.0015616767546709847,100.0,91.54
37,4.642810821533203,3.2070397754155454e-06,0.001577579909387757,100.0,91.54
38,4.699472188949585,1.7035135464365816e-06,0.0015429780982873019,100.0,91.18
39,4.9387290477752686,1.2996448016825265e-06,0.0016015532481319765,100.0,91.54
40,4.775968551635742,1.4195890495708834e-06,0.0016049558625501744,100.0,91.54
41,4.56454610824585,1.2627973600978121e-06,0.0016048064126687892,100.0,91.54
42,4.880316495895386,9.581408881959283e-07,0.00161300172262332,100.0,91.54
43,4.792552947998047,1.0213461791863665e-06,0.0016352613182628855,100.0,91.54
44,4.768004417419434,9.180391013311843e-07,0.0016700095113585977,100.0,91.54
45,4.761573314666748,8.526121313306725e-07,0.0016796827754553627,100.0,91.54
46,4.831316232681274,4.80832784974371e-07,0.0016734827967251047,100.0,91.18
47,4.844335556030273,5.468975273071833e-07,0.0017113468664533952,100.0,91.18
48,4.587654113769531,6.084640820821127e-07,0.001720463966622072,100.0,91.18
